window,origin_a,origin_b,disagreement_objective,gradient_l2,head_delta_l2,direct_prediction_delta_l2,head_delta_residual_mse,head_reconstruction_relative_error,raw_reconstruction_relative_error
3168,0,6,0.0060271755792200565,0.013700643554329872,3.485797643661499,3.485797882080078,8.5941445136079e-15,1.1941100410695071e-06,1.1941100410695071e-06
3169,0,6,0.006458558142185211,0.014071309007704258,3.608386516571045,3.608386516571045,7.863467635284976e-15,1.1034160252165748e-06,1.1034160252165748e-06
3170,0,6,0.004970678593963385,0.014463656581938267,3.1655783653259277,3.165578603744507,8.384753733881901e-15,1.2987850368517684e-06,1.2987850368517684e-06
3171,0,6,0.0054021901451051235,0.01535762008279562,3.300123453140259,3.300123453140259,8.35684145717103e-15,1.243758674718265e-06,1.243758674718265e-06
3172,0,6,0.006340454798191786,0.017321893945336342,3.575242042541504,3.575242042541504,7.379715260646784e-15,1.0788463669086923e-06,1.0788463669086923e-06
3173,0,6,0.00665615638718009,0.018696526065468788,3.6631696224212646,3.6631693840026855,7.698365667272063e-15,1.0754432651083334e-06,1.0754432651083334e-06
3174,0,6,0.006868562661111355,0.018273908644914627,3.721158742904663,3.721158504486084,8.110261695895831e-15,1.0866370985240792e-06,1.0866370985240792e-06
3175,0,6,0.0057755508460104465,0.017712216824293137,3.4122588634490967,3.4122588634490967,8.158049600714024e-15,1.1884925470440066e-06,1.1884925470440066e-06
3176,0,6,0.004259104374796152,0.01555192843079567,2.9302480220794678,2.930248260498047,7.679223569697063e-15,1.3427635394691606e-06,1.3427635394691606e-06
3177,0,6,0.004715669900178909,0.015325083397328854,3.083308219909668,3.083308219909668,7.452983610584281e-15,1.2571681509143673e-06,1.2571681509143673e-06
3178,0,6,0.006100434809923172,0.01580391451716423,3.50691819190979,3.506918430328369,6.932041830880415e-15,1.0659827012204914e-06,1.0659827012204914e-06
3179,0,6,0.006855367217212915,0.016926206648349762,3.7175824642181396,3.7175824642181396,7.506029895939029e-15,1.0463808166605304e-06,1.0463808166605304e-06
