layer,window_id,origin,stratum,forecast_mse,pc1,pc2,pc3
layer0,3604,6,1,0.11366451531648636,-0.3516190262808633,-0.3363850257604931,0.18886578341947913
layer0,3626,6,1,0.10852929949760437,-0.32790972348996844,0.045197497471311236,0.44476281738676554
layer0,5103,6,1,0.13337883353233337,0.10940991497402452,-0.3516815606489594,0.3134351707808161
layer0,5132,6,1,0.09770754724740982,0.1197750760459873,0.16639741937244082,-0.36278246231477923
layer0,5282,6,1,0.12101559340953827,0.9568499035011773,-0.18380140497950687,0.39069529031803363
layer0,5393,6,1,0.11291822046041489,1.0649722469439191,-0.3849187757857402,-0.1805760264314907
layer0,5476,6,1,0.1311182826757431,1.0004310912487309,-0.45654226342514787,0.07123017966901017
layer0,5770,6,1,0.13059554994106293,1.0445144972444333,0.5536014001185808,-0.2552486822578911
layer0,379,6,2,0.14347994327545166,-0.40517401902282524,-0.2742420922895292,-0.2035230603309898
layer0,463,6,2,0.16470016539096832,-0.40024369733712833,-0.2849574264385093,-0.2321137664864458
layer0,1170,6,2,0.1435490995645523,0.22470008919370713,-0.5437588615152725,-0.19161656254733067
layer0,2552,6,2,0.13584178686141968,0.7209204806768779,-0.3382493216156405,-0.20539231698137378
layer0,2705,6,2,0.20746031403541565,0.2955072928962986,-0.3753562884004527,0.5855759892057574
layer0,3363,6,2,0.16852892935276031,-1.2239194460148495,0.176816584272478,0.43424614436098985
layer0,3365,6,2,0.20797647535800934,-1.0821563832685934,-0.3661147583928797,0.3520885199841368
layer0,3978,6,2,0.18775972723960876,0.42243442526382485,-0.4085162266500425,-0.3280510631554466
layer0,4026,6,2,0.23954759538173676,0.3122203125782517,-0.4704425296818327,-0.3315579586016527
layer0,4198,6,2,0.20986534655094147,-0.1701767754726204,0.5002865155635694,-0.2984898113763029
layer0,4374,6,2,0.17497222125530243,-0.6760910934379432,-0.4516372526745884,-0.2565255986711585
layer0,4406,6,2,0.19186362624168396,-0.7969867046898568,-0.07562579232343516,0.50850340175187
layer0,4409,6,2,0.21145819127559662,-0.6425795370273897,-0.5959340582335727,-0.11010146551988294
layer0,4435,6,2,0.16583222150802612,-0.8489298232227697,-0.24214476178665578,-0.44682125899420283
layer0,4481,6,2,0.1734115034341812,-0.6255424318600462,-0.6323239782991777,-0.09285705721101527
layer0,4533,6,2,0.20642739534378052,-0.7419074256204474,0.2669145190034544,-0.37729653137736996
layer0,4722,6,2,0.15109118819236755,-0.6159031289874527,-0.3890525970104442,-0.3132752728074064
layer0,4826,6,2,0.1514299511909485,-0.5436181109263235,-0.10383244201487728,0.46890795227934123
layer0,4891,6,2,0.14905066788196564,-0.42962123070941016,-0.17641211630383422,-0.5231372990256498
layer0,4937,6,2,0.14661738276481628,-0.13188390781280324,-0.5759957078571495,-0.12573863201703422
layer0,4955,6,2,0.21851816773414612,-0.2737109859864511,0.522352225503282,0.12784010307035606
layer0,5584,6,2,0.13760673999786377,1.0007037041315285,-0.4327736198941192,0.12518483919301562
