window,origin_a,origin_b,disagreement_objective,gradient_l2,head_delta_l2,direct_prediction_delta_l2,head_delta_residual_mse,head_reconstruction_relative_error,raw_reconstruction_relative_error
4484,0,6,282.2119445800781,1.320424199104309,29.905344009399414,754.2806396484375,2.2191595783205287e-10,7.21709170647955e-07,8.867609722074121e-07
4485,0,6,364.5195617675781,2.2081286907196045,29.298643112182617,857.2463989257812,2.572483615015386e-10,7.446666927535261e-07,8.400708111366839e-07
4486,0,6,240.9222412109375,1.0949976444244385,29.204418182373047,696.9212646484375,2.3206529753405647e-10,7.201126095424115e-07,9.814465329327504e-07
4487,0,6,291.8125915527344,1.670839548110962,30.047510147094727,767.0033569335938,2.1661747395818054e-10,7.342623007389193e-07,8.615782576271158e-07
4488,0,6,362.90130615234375,2.4570906162261963,28.793926239013672,855.3414306640625,2.622229933191278e-10,7.50245249037107e-07,8.500434205416241e-07
4489,0,6,431.0006103515625,2.9573960304260254,28.67092514038086,932.1465454101562,4.284881616190006e-10,7.387555456261907e-07,9.970810879167402e-07
4490,0,6,397.744140625,2.4134931564331055,27.29815101623535,895.4619750976562,4.1211734025381475e-10,7.52895232380979e-07,1.0179080618399894e-06
4491,0,6,497.8755798339844,4.106884002685547,27.010242462158203,1001.8568115234375,2.4451740632258634e-10,7.672416018067452e-07,7.008006264186406e-07
4492,0,6,443.3259582519531,2.024815320968628,27.079463958740234,945.380859375,2.364522189157725e-10,7.593176292175485e-07,7.303148663595493e-07
4493,0,6,431.0611267089844,1.8340736627578735,27.949642181396484,932.2119750976562,2.248851799224738e-10,7.188117479017819e-07,7.222889735203353e-07
4494,0,6,437.1988830566406,3.376793384552002,27.825084686279297,938.8252563476562,2.3926691183895343e-10,7.015806318122486e-07,7.397786703222664e-07
4495,0,6,516.14453125,3.1742372512817383,29.481813430786133,1020.0722045898438,2.2453079673301346e-10,6.952638500479225e-07,6.595569175260607e-07
4496,0,6,532.5753784179688,1.8443800210952759,31.088375091552734,1036.181396484375,2.5107727008588654e-10,6.445950475608697e-07,6.866148396511562e-07
4497,0,6,625.5336303710938,3.2612452507019043,32.0192756652832,1122.976318359375,2.353079675554426e-10,6.191282295731071e-07,6.133282681730634e-07
4498,0,6,386.5830993652344,1.7752857208251953,31.027795791625977,882.8088989257812,2.2268521748802783e-10,6.640440233240952e-07,7.589693495901884e-07
4499,0,6,425.2077941894531,2.804142951965332,31.754928588867188,925.8611450195312,2.368242824069e-10,6.444284963436075e-07,7.462983262485068e-07
4500,0,6,379.5519714355469,2.154906988143921,31.106761932373047,874.7438354492188,4.2531647648225146e-10,6.353905632749957e-07,1.0585721383904456e-06
4501,0,6,379.1859130859375,2.4202845096588135,30.33198356628418,874.3218994140625,4.5814529947563187e-10,6.348075771711592e-07,1.0991969929818879e-06
4502,0,6,363.3352355957031,2.269874334335327,28.118616104125977,855.8527221679688,2.378162944349782e-10,6.885258585498377e-07,8.090344749689393e-07
4503,0,6,421.9255676269531,3.247661590576172,26.864242553710938,922.28076171875,4.36339492315696e-10,7.183015213740873e-07,1.0169377446800354e-06
4504,0,6,438.3368835449219,2.3473474979400635,27.01182746887207,940.0463256835938,3.8453587536402267e-10,7.229627954075113e-07,9.366221433992905e-07
4505,0,6,497.5330810546875,2.0595173835754395,29.09092903137207,1001.5121459960938,2.5584681595525183e-10,7.036517217784422e-07,7.170988851612492e-07
4506,0,6,431.18524169921875,3.1987547874450684,29.14786720275879,932.34619140625,2.646099728220719e-10,6.479573357864865e-07,7.83377629431925e-07
4507,0,6,538.6405029296875,2.910966634750366,30.45105743408203,1042.06494140625,2.1992109522361858e-10,6.328831432256266e-07,6.389750524249393e-07
4508,0,6,510.97076416015625,2.237661123275757,31.56930923461914,1014.94677734375,2.325302866923451e-10,6.492899728982593e-07,6.745928544660273e-07
4509,0,6,538.4337158203125,2.9972457885742188,30.161767959594727,1041.86474609375,2.1977929198779833e-10,6.533131795549707e-07,6.388917768163083e-07
4510,0,6,356.6889953613281,2.0265069007873535,29.383630752563477,847.9888305664062,2.0258163202502288e-10,6.761383701814339e-07,7.536247608186386e-07
4511,0,6,381.6231994628906,2.0513131618499756,29.878284454345703,877.1273193359375,3.0045169130410443e-10,6.582815785804996e-07,8.87298881480092e-07
4512,0,6,338.33624267578125,2.214480400085449,29.210256576538086,825.8848266601562,2.1436440122979405e-10,6.86406224303937e-07,7.959798153933662e-07
4513,0,6,368.67852783203125,3.451026678085327,27.640605926513672,862.1228637695312,2.017910422091873e-10,7.151809313654667e-07,7.398216439469252e-07
4514,0,6,290.8140563964844,2.644514560699463,27.582157135009766,765.68994140625,1.9567523990016156e-10,7.244220228130871e-07,8.202764547604602e-07
4515,0,6,287.1759033203125,3.022944211959839,28.091455459594727,760.8853759765625,2.423418410391065e-10,6.90075978582172e-07,9.186291549667658e-07
4516,0,6,253.12637329101562,1.9117040634155273,29.394399642944336,714.3547973632812,1.9979919108070732e-10,6.640404990321258e-07,8.884400699571415e-07
4517,0,6,301.3090515136719,2.691711187362671,30.359560012817383,779.3837280273438,2.2020860135363307e-10,6.641708409915736e-07,8.548915957362624e-07
