window,prediction_mse,layer0_spectral_l1,layer1_spectral_l1,layer2_spectral_l1
55,0.0910114124417305,0.0711289184692624,0.1076150583924861,0.08243034842077339
56,0.0987684428691864,0.06685437043398527,0.1019647422120018,0.07709900234575157
57,0.08222934603691101,0.06783434683567933,0.10550373829258178,0.07489184490882375
58,0.08279799669981003,0.07098805252875624,0.10301442666364892,0.07532210803716098
59,0.07574401795864105,0.07295008420006768,0.09902853525005789,0.07249443541983654
60,0.09472858160734177,0.07288671886983926,0.09956173154081839,0.0706826194817582
61,0.0696844533085823,0.06743540591853957,0.09939610767237657,0.07047252840198902
62,0.09401765465736389,0.06348363535185154,0.09746025712729554,0.07351962805394603
63,0.0873788446187973,0.06414218609729479,0.1013568629841016,0.07446042139299797
64,0.07354564964771271,0.0681375016875499,0.10134244098696737,0.07249303291511795
65,0.050458624958992004,0.07069938173504219,0.09857769396386923,0.0746025896416287
66,0.05238825082778931,0.07106231871478015,0.10067538375480369,0.07890604719908867
67,0.061903465539216995,0.06716659680015401,0.10042981049607577,0.07859306867687622
68,0.07904864102602005,0.06354432682115521,0.09718608571589661,0.07422702959052693
69,0.05719514191150665,0.06391603643293325,0.09969354349587847,0.07197323368459538
70,0.06393180787563324,0.06852351644662259,0.1000518973985844,0.07218193340050821
71,0.08081233501434326,0.0711131216216216,0.09745531973392327,0.07164749352312404
72,0.08461210131645203,0.07203594344423309,0.09913840209210538,0.07027586913179056
73,0.0906638577580452,0.0683195862363303,0.09898027523398835,0.07279678958686239
74,0.08701717108488083,0.06437514489558027,0.09750065180934751,0.07278464681965192
75,0.06504503637552261,0.06612057207808773,0.10245720721086936,0.07485821348877252
76,0.059200070798397064,0.07010462406794268,0.10245404966518552,0.07365671660783567
77,0.06354882568120956,0.07202954756877102,0.10011603155801717,0.0754398186289006
78,0.0649595633149147,0.07372801042509837,0.1041886381540658,0.07977079176620713
79,0.07530166208744049,0.07022534516013365,0.10283787761593799,0.07840193771398672
80,0.09010455757379532,0.06504451946277225,0.09953491853145473,0.07514655556914805
81,0.07616279274225235,0.06667207823151483,0.10290402866223278,0.07388166890312922
82,0.04864233359694481,0.06944948862065799,0.10141084640659649,0.07417285175596516
83,0.04029014706611633,0.07213255486634339,0.09896349825214132,0.07242233399816325
84,0.03884802758693695,0.07240856740605074,0.10160435230689155,0.07027240581001584
85,0.05836969614028931,0.06877387949058936,0.09972672501247729,0.07107332365567462
86,0.07273069024085999,0.06354240759228402,0.09738265036763073,0.07274412278155588
87,0.08078279346227646,0.06514021377340053,0.10128679385648785,0.0740582717773651
88,0.06997713446617126,0.06809379602282487,0.10113906236682951,0.072352961197851
89,0.060710608959198,0.07217019195928076,0.09971354760685104,0.07370056348307939
90,0.0964026004076004,0.07226121951994441,0.10206638961040088,0.07918706285115466
91,0.09276700019836426,0.0685400109872726,0.10074105650648865,0.07715854759627483
92,0.09351715445518494,0.06338316769187914,0.09736189167190928,0.07292561766718295
93,0.05448366329073906,0.06518052170534851,0.10059309522627569,0.07089681511895936
94,0.05726810544729233,0.06817369478338889,0.09991442813291544,0.07098237677744314
95,0.07270945608615875,0.07186692269273998,0.09809679706765011,0.07058104802251203
96,0.0817750096321106,0.07270146483675206,0.10096179117402902,0.0700357200050832
97,0.08829957246780396,0.06884851946181637,0.0993961645740184,0.07276490738331427
98,0.08387359231710434,0.06426037847480986,0.09742946963316966,0.07225417135740324
99,0.06404829770326614,0.0655514304397702,0.10168275780444383,0.07404876871909208
